car,label
0_0001,0
0_0002,0
0_0003,0
0_0004,0
0_0005,0
0_0006,0
0_0007,0
0_0008,0
0_0009,0
0_0010,0
0_0011,0
0_0012,0
0_0013,0
0_0014,0
0_0015,0
0_0016,0
0_0017,0
0_0018,0
0_0019,0
0_0020,0
0_0021,0
0_0022,0
0_0023,0
0_0024,0
0_0025,0
0_0026,0
0_0027,0
0_0028,0
0_0029,0
0_0030,0
0_0031,0
0_0032,0
0_0033,0
0_0034,0
0_0035,0
0_0036,0
0_0037,0
0_0038,0
0_0039,0
0_0040,0
0_0041,0
0_0042,0
0_0043,0
0_0044,0
0_0045,0
0_0046,0
0_0047,0
0_0048,0
0_0049,0
0_0050,0
0_0051,0
0_0052,0
0_0053,0
0_0054,0
0_0055,0
0_0056,0
0_0057,0
0_0058,0
0_0059,0
0_0060,0
0_0061,0
0_0062,0
0_0063,0
0_0064,0
0_0065,0
0_0066,0
0_0067,0
0_0068,0
0_0069,0
0_0070,0
0_0071,0
0_0072,0
0_0073,0
0_0074,0
0_0075,0
0_0076,0
0_0077,0
0_0078,0
0_0079,0
0_0080,0
0_0081,0
0_0082,0
0_0083,0
0_0084,0
0_0085,0
0_0086,0
0_0087,0
0_0088,0
0_0089,0
0_0090,0
0_0091,0
0_0092,0
0_0093,0
0_0094,0
0_0095,0
0_0096,0
0_0097,0
0_0098,0
0_0099,0
0_0100,0
0_0101,0
0_0102,0
0_0103,0
0_0104,0
0_0105,0
0_0106,0
0_0107,0
0_0108,0
0_0109,0
0_0110,0
0_0111,0
0_0112,0
0_0113,0
0_0114,0
0_0115,0
0_0116,0
0_0117,0
0_0118,0
0_0119,0
0_0120,0
0_0121,0
0_0122,0
0_0123,0
0_0124,0
0_0125,0
0_0126,0
0_0127,0
0_0128,0
0_0129,0
0_0130,0
0_0131,0
0_0132,0
0_0133,0
0_0134,0
0_0135,0
0_0136,0
0_0137,0
0_0138,0
0_0139,0
0_0140,0
0_0141,0
0_0142,0
0_0143,0
0_0144,0
0_0145,0
0_0146,0
0_0147,0
0_0148,0
0_0149,0
0_0150,0
0_0151,0
0_0152,0
0_0153,0
0_0154,0
0_0155,0
0_0156,0
0_0157,0
0_0158,0
0_0159,0
0_0160,0
0_0161,0
0_0162,0
0_0163,0
0_0164,0
