f1,f2,f3,f4,f5,f6,f7,f8
3.4295454,97.5,7.0,3.438,3.421,25.0,20.0,1.0
3.5011365,196.7,8.0,3.511,3.487,25.0,20.0,2.0
3.5227273,196.8,9.0,3.534,3.507,25.0,20.0,3.0
3.5386362,196.7,9.0,3.551,3.522,25.0,20.0,4.0
3.5534093,196.6,10.0,3.567,3.537,25.0,20.0,5.0
3.5670455,196.8,11.0,3.58,3.55,25.0,21.0,6.0
3.578409,197.1,12.0,3.592,3.562,26.0,21.0,7.0
3.5897727,197.4,12.0,3.603,3.573,26.0,21.0,8.0
3.5988638,197.3,13.0,3.613,3.582,26.0,21.0,9.0
3.609091,197.3,14.0,3.622,3.592,26.0,21.0,10.0
3.6170454,197.2,15.0,3.63,3.601,26.0,22.0,11.0
3.625,197.2,15.0,3.637,3.609,27.0,22.0,12.0
3.6318183,197.4,16.0,3.644,3.617,27.0,22.0,13.0
3.6386366,197.4,17.0,3.649,3.624,27.0,22.0,14.0
3.6454544,197.5,18.0,3.655,3.63,27.0,22.0,15.0
3.65,197.5,18.0,3.66,3.637,27.0,22.0,16.0
3.6556818,197.6,19.0,3.664,3.642,28.0,22.0,17.0
3.6602273,197.5,20.0,3.669,3.647,28.0,23.0,18.0
3.6647727,197.0,20.0,3.673,3.652,28.0,23.0,19.0
3.6693182,197.1,21.0,3.677,3.657,28.0,23.0,20.0
3.6738634,197.7,22.0,3.681,3.661,28.0,23.0,21.0
3.6772728,197.5,23.0,3.685,3.665,29.0,23.0,22.0
3.6818182,197.1,23.0,3.689,3.669,29.0,23.0,23.0
3.6852272,197.2,24.0,3.694,3.674,29.0,24.0,24.0
3.6886365,197.6,25.0,3.697,3.678,29.0,24.0,25.0
3.6931818,197.7,26.0,3.701,3.682,29.0,24.0,26.0
3.6977272,197.8,26.0,3.705,3.687,29.0,24.0,27.0
3.7022727,197.9,27.0,3.709,3.691,30.0,24.0,28.0
3.7056818,197.8,28.0,3.713,3.695,30.0,24.0,29.0
3.7102273,197.6,28.0,3.716,3.7,30.0,25.0,30.0
3.7136362,197.6,29.0,3.72,3.704,30.0,25.0,31.0
3.7181818,197.7,30.0,3.723,3.708,30.0,25.0,32.0
3.721591,197.7,31.0,3.727,3.712,31.0,25.0,33.0
3.725,197.8,31.0,3.731,3.716,31.0,25.0,34.0
3.728409,197.8,32.0,3.735,3.721,31.0,25.0,35.0
3.7329545,197.6,33.0,3.738,3.724,31.0,26.0,36.0
3.7363634,197.9,34.0,3.742,3.728,31.0,26.0,37.0
3.7397728,197.9,34.0,3.745,3.732,32.0,26.0,38.0
3.7443182,197.6,35.0,3.749,3.736,32.0,26.0,39.0
3.7477272,197.7,36.0,3.753,3.739,32.0,26.0,40.0
